"Visib_miles","Humidity","Cloud","Feels_like_c","wind_north_direction","snow_or_not"
0,6,0.571428571428571,6,"no","no_snow"
0,6,0.558441558441559,100,"yes","no_snow"
0,6,0.896103896103896,100,"no","no_snow"
0,6,0.597402597402597,77,"no","no_snow"
0,6,0.649350649350649,9,"no","no_snow"
0,6,0.805194805194805,100,"yes","no_snow"
1.62,6,0.961038961038961,80,"yes","no_snow"
0,6,0.519480519480519,13,"no","no_snow"
1.79,6,0.727272727272727,100,"yes","no_snow"
0.77,2,0.948051948051948,100,"no","no_snow"
0,6,0.623376623376623,5,"no","no_snow"
1.53,6,0.714285714285714,47,"no","no_snow"
1.79,4,0.74025974025974,100,"yes","no_snow"
0.09,6,0.623376623376623,1,"no","no_snow"
1.7,6,0.181818181818182,1,"no","no_snow"
0,6,0.467532467532468,53,"no","no_snow"
0.26,5,0.974025974025974,100,"no","no_snow"
0,6,0.844155844155844,39,"no","no_snow"
0,4,0.909090909090909,69,"yes","no_snow"
0.51,6,0.545454545454545,8,"no","no_snow"
0,6,0.545454545454545,5,"no","no_snow"
0,6,0.454545454545454,100,"no","no_snow"
0,6,0.350649350649351,0,"yes","no_snow"
0.09,6,0.558441558441559,71,"no","no_snow"
0,6,0.922077922077922,61,"no","no_snow"
0.68,6,0.701298701298701,33,"no","no_snow"
0.43,6,0.571428571428571,54,"no","no_snow"
0,6,0.467532467532468,3,"no","no_snow"
0,6,0.428571428571429,0,"yes","no_snow"
0,6,0.571428571428571,6,"no","no_snow"
0,6,0.311688311688312,0,"no","no_snow"
0,6,0.545454545454545,34,"yes","no_snow"
0,6,0.766233766233766,22,"no","no_snow"
0.77,6,0.766233766233766,88,"no","no_snow"
0,6,0.519480519480519,74,"yes","no_snow"
0,0,0.506493506493507,26,"yes","no_snow"
2.21,6,0.493506493506494,44,"no","no_snow"
0,6,0.454545454545454,3,"no","no_snow"
0,6,0.350649350649351,0,"no","no_snow"
0.51,6,0.376623376623377,9,"no","no_snow"
0,6,0.753246753246753,11,"no","no_snow"
1.7,1,0.961038961038961,71,"no","no_snow"
0.51,6,0.48051948051948,100,"no","no_snow"
0.68,6,0.545454545454545,40,"no","no_snow"
0,6,0.584415584415584,32,"yes","no_snow"
0,6,0.38961038961039,46,"no","no_snow"
0,0,0.909090909090909,100,"yes","no_snow"
0.68,6,0.61038961038961,95,"no","no_snow"
0.43,6,0.649350649350649,37,"no","no_snow"
0,6,0.779220779220779,98,"yes","no_snow"
0.09,1,0.961038961038961,100,"no","no_snow"
0.26,4,0.909090909090909,91,"no","no_snow"
0,6,0.675324675324675,9,"no","no_snow"
0,6,0.545454545454545,100,"no","no_snow"
1.36,6,0.428571428571429,3,"no","no_snow"
0,6,0.805194805194805,96,"no","no_snow"
0,1,0.961038961038961,53,"yes","no_snow"
0,6,0.61038961038961,0,"no","no_snow"
0,6,0.87012987012987,82,"no","no_snow"
0,6,0.922077922077922,96,"yes","no_snow"
0,6,0.402597402597403,0,"no","no_snow"
0.09,6,0.584415584415584,100,"no","no_snow"
0,6,0.337662337662338,31,"no","no_snow"
0.09,6,0.376623376623377,4,"no","no_snow"
0,6,0.792207792207792,88,"no","no_snow"
0,6,0.688311688311688,3,"no","no_snow"
2.21,6,0.506493506493507,45,"no","no_snow"
1.36,5,0.948051948051948,100,"no","no_snow"
0.09,0,0.818181818181818,100,"no","no_snow"
1.36,6,0.74025974025974,90,"no","no_snow"
0,5,0.883116883116883,91,"no","no_snow"
13.35,1,0.74025974025974,60,"no","no_snow"
0.77,6,0.779220779220779,86,"no","no_snow"
0,6,0.298701298701299,0,"no","no_snow"
1.36,5,0.948051948051948,100,"no","no_snow"
0.26,6,0.844155844155844,49,"yes","no_snow"
0,6,0.597402597402597,12,"no","no_snow"
0,6,0.597402597402597,27,"no","no_snow"
0.26,4,0.909090909090909,100,"no","no_snow"
0,1,0.961038961038961,76,"yes","no_snow"
0,6,0.48051948051948,26,"no","no_snow"
0,6,0.779220779220779,12,"no","no_snow"
0,6,0.558441558441559,9,"no","no_snow"
0,6,0.545454545454545,69,"no","no_snow"
0,6,0.220779220779221,100,"no","no_snow"
0,6,0.714285714285714,13,"no","no_snow"
0.17,6,0.896103896103896,100,"yes","no_snow"
1.02,5,0.948051948051948,100,"no","no_snow"
0,6,0.571428571428571,6,"no","no_snow"
0,6,0.467532467532468,5,"no","no_snow"
3.91,6,0.896103896103896,91,"yes","no_snow"
1.79,6,0.506493506493507,64,"no","no_snow"
0,6,0.584415584415584,1,"no","no_snow"
0,6,0.688311688311688,100,"no","no_snow"
0,6,0.402597402597403,0,"no","no_snow"
0,6,0.142857142857143,15,"no","no_snow"
1.7,6,0.415584415584416,4,"no","no_snow"
0,6,0.805194805194805,97,"no","no_snow"
0,6,0.506493506493507,81,"no","no_snow"
0,0,0.727272727272727,100,"yes","no_snow"
0,6,0.493506493506494,17,"yes","no_snow"
0.26,1,0.974025974025974,100,"no","no_snow"
0,1,0.948051948051948,100,"no","no_snow"
1.53,1,0.974025974025974,100,"no","no_snow"
0,4,0.636363636363636,53,"no","no_snow"
0.43,6,0.935064935064935,100,"no","no_snow"
0,6,0.675324675324675,4,"no","no_snow"
0,6,0.324675324675325,0,"no","no_snow"
0,6,0.727272727272727,48,"no","no_snow"
0,6,0.818181818181818,100,"yes","no_snow"
0,6,0.597402597402597,94,"no","no_snow"
0,2,0.766233766233766,96,"no","no_snow"
0.68,6,0.675324675324675,21,"no","no_snow"
0,6,0.714285714285714,68,"no","no_snow"
0,6,0.623376623376623,27,"yes","no_snow"
0,1,0.753246753246753,100,"no","no_snow"
0,6,0.766233766233766,14,"no","no_snow"
0,1,0.883116883116883,100,"no","no_snow"
1.36,1,0.922077922077922,100,"no","no_snow"
1.36,6,0.311688311688312,0,"no","no_snow"
0.68,6,0.168831168831169,6,"no","no_snow"
0,6,0.779220779220779,5,"no","no_snow"
0.6,6,0.584415584415584,7,"no","no_snow"
0,6,0.584415584415584,33,"no","no_snow"
0,6,0.0779220779220779,14,"no","no_snow"
1.02,6,0.753246753246753,88,"no","no_snow"
1.02,2,0.961038961038961,100,"no","no_snow"
1.7,6,0.220779220779221,2,"no","no_snow"
0.09,6,0.181818181818182,4,"no","no_snow"
0,6,0.727272727272727,48,"no","no_snow"
0,6,0.298701298701299,6,"no","no_snow"
0,6,0.38961038961039,100,"no","no_snow"
0,6,0.662337662337662,13,"no","no_snow"
0,0,0.649350649350649,100,"yes","no_snow"
0,6,0.207792207792208,0,"no","no_snow"
0.77,1,0.974025974025974,100,"no","no_snow"
0.17,6,0.857142857142857,99,"yes","no_snow"
0,6,0.545454545454545,5,"no","no_snow"
0,6,0.662337662337662,11,"no","no_snow"
0.43,6,0.922077922077922,100,"no","no_snow"
0,6,0.727272727272727,100,"no","no_snow"
0,6,0.558441558441559,5,"no","no_snow"
0,6,0.74025974025974,87,"no","no_snow"
0,6,0.428571428571429,0,"yes","no_snow"
0,6,0.636363636363636,35,"yes","no_snow"
0,6,0.597402597402597,5,"no","no_snow"
0,6,0.792207792207792,24,"no","no_snow"
0,6,0.415584415584416,75,"no","no_snow"
0,6,0.909090909090909,72,"no","no_snow"
0,6,0.597402597402597,99,"no","no_snow"
1.7,6,0.519480519480519,6,"no","no_snow"
0,6,0.727272727272727,12,"no","no_snow"
0.17,6,0.558441558441559,100,"no","no_snow"
0,6,0.584415584415584,78,"no","no_snow"
1.79,6,0.506493506493507,63,"no","no_snow"
0,6,0.571428571428571,3,"no","no_snow"
0,6,0.0649350649350649,1,"no","no_snow"
0,5,0.896103896103896,100,"no","no_snow"
0,6,0.87012987012987,93,"no","no_snow"
0,6,0.753246753246753,100,"no","no_snow"
0.26,5,0.922077922077922,100,"no","no_snow"
0,6,0.519480519480519,39,"no","no_snow"
0,6,0.87012987012987,28,"no","no_snow"
0.17,6,0.675324675324675,95,"yes","no_snow"
0,6,0.493506493506494,10,"no","no_snow"
0.94,6,0.545454545454545,75,"no","no_snow"
0,6,0.142857142857143,3,"no","no_snow"
1.62,6,0.974025974025974,92,"yes","no_snow"
4,6,0.623376623376623,14,"no","no_snow"
0,6,0.675324675324675,8,"no","no_snow"
0,6,0.402597402597403,33,"no","no_snow"
0,6,0.688311688311688,3,"no","no_snow"
0,6,0.363636363636364,3,"no","no_snow"
0,6,0.623376623376623,7,"no","no_snow"
0.85,6,0.701298701298701,23,"no","no_snow"
0,6,0.441558441558442,46,"no","no_snow"
1.36,6,0.974025974025974,100,"no","no_snow"
0,0,0.571428571428571,100,"yes","no_snow"
0,6,0.376623376623377,38,"no","no_snow"
0,6,0.584415584415584,4,"no","no_snow"
0,5,0.961038961038961,100,"no","no_snow"
0,6,0.597402597402597,65,"no","no_snow"
0,6,0.272727272727273,0,"no","no_snow"
0,6,0.597402597402597,94,"yes","no_snow"
0,6,0.441558441558442,98,"no","no_snow"
0.77,6,0.584415584415584,5,"no","no_snow"
0.09,6,0.428571428571429,90,"no","no_snow"
0.68,6,0.584415584415584,36,"no","no_snow"
0.09,6,0.545454545454545,37,"no","no_snow"
0,4,0.935064935064935,93,"no","no_snow"
0,6,0.324675324675325,3,"no","no_snow"
0,6,0.922077922077922,100,"yes","no_snow"
0.09,6,0.857142857142857,92,"no","no_snow"
0.09,6,0.805194805194805,100,"yes","no_snow"
0,6,0.87012987012987,79,"no","no_snow"
0,6,0.662337662337662,10,"no","no_snow"
1.02,6,0.831168831168831,100,"yes","no_snow"
1.11,6,0.87012987012987,55,"yes","no_snow"
0,6,0.623376623376623,95,"no","no_snow"
1.11,6,0.857142857142857,38,"yes","no_snow"
0,6,0.935064935064935,100,"no","no_snow"
2.3,4,0.922077922077922,100,"no","no_snow"
0.94,6,0.441558441558442,48,"no","no_snow"
0,6,0.701298701298701,9,"no","no_snow"
0,6,0.285714285714286,26,"no","no_snow"
1.79,4,0.753246753246753,100,"yes","no_snow"
0.43,6,0.558441558441559,37,"no","no_snow"
0,6,0.701298701298701,95,"no","no_snow"
0.43,6,0.883116883116883,86,"no","no_snow"
1.79,0,0.805194805194805,100,"yes","no_snow"
0,6,0.272727272727273,9,"yes","no_snow"
0,6,0.415584415584416,2,"no","no_snow"
0,6,0.675324675324675,41,"yes","no_snow"
0,6,0.545454545454545,9,"no","no_snow"
0.43,6,0.909090909090909,100,"no","no_snow"
0.09,6,0.896103896103896,88,"yes","no_snow"
1.79,6,0.909090909090909,100,"no","no_snow"
0.43,6,0.532467532467533,35,"no","no_snow"
0,1,0.623376623376623,100,"no","no_snow"
0.6,6,0.25974025974026,8,"no","no_snow"
0,6,0.597402597402597,4,"no","no_snow"
0.26,6,0.727272727272727,19,"no","no_snow"
0,6,0.623376623376623,93,"no","no_snow"
0,6,0.441558441558442,44,"no","no_snow"
0,6,0.103896103896104,8,"no","no_snow"
0,6,0.168831168831169,3,"no","no_snow"
0,6,0.246753246753247,2,"no","no_snow"
0,6,0.545454545454545,5,"no","no_snow"
0,6,0.623376623376623,97,"no","no_snow"
1.7,6,0.74025974025974,8,"yes","no_snow"
2.04,6,0.506493506493507,46,"no","no_snow"
0,6,0.714285714285714,57,"no","no_snow"
0.17,6,0.532467532467533,62,"yes","no_snow"
0,6,0.168831168831169,0,"no","no_snow"
0.17,6,0.675324675324675,90,"no","no_snow"
0.09,6,0.883116883116883,100,"yes","no_snow"
0,6,0.909090909090909,48,"no","no_snow"
0,6,0.714285714285714,75,"no","no_snow"
0,6,0.519480519480519,100,"yes","no_snow"
0,6,0.181818181818182,2,"no","no_snow"
0,6,0.493506493506494,4,"no","no_snow"
0.17,6,0.519480519480519,76,"yes","no_snow"
0,6,0.584415584415584,6,"no","no_snow"
0,6,0.467532467532468,77,"no","no_snow"
0.68,6,0.467532467532468,51,"no","no_snow"
0,0,0.675324675324675,100,"yes","no_snow"
0,6,0.363636363636364,1,"no","no_snow"
0,6,0.441558441558442,59,"no","no_snow"
1.79,6,0.883116883116883,49,"no","no_snow"
0,6,0.363636363636364,1,"no","no_snow"
0,6,0.0779220779220779,0,"no","no_snow"
0,6,0.233766233766234,4,"yes","no_snow"
0,6,0.779220779220779,44,"yes","no_snow"
0,6,0.701298701298701,59,"no","no_snow"
0.09,6,0.805194805194805,100,"yes","no_snow"
1.7,0,0.987012987012987,73,"yes","no_snow"
0.51,6,0.701298701298701,26,"no","no_snow"
0,6,0.649350649350649,98,"yes","no_snow"
0,6,0.636363636363636,46,"yes","no_snow"
0.34,6,0.532467532467533,5,"no","no_snow"
0,6,0.74025974025974,95,"no","no_snow"
0,0,0.883116883116883,100,"no","no_snow"
0,6,0.74025974025974,13,"no","no_snow"
0,6,0.766233766233766,100,"no","no_snow"
0,6,0.753246753246753,0,"no","no_snow"
0,6,0.714285714285714,11,"no","no_snow"
0,6,0.558441558441559,73,"no","no_snow"
0,6,0.285714285714286,0,"no","no_snow"
0,6,0.584415584415584,0,"no","no_snow"
0,6,0.74025974025974,97,"no","no_snow"
0,6,0.883116883116883,100,"yes","no_snow"
0.26,6,0.454545454545454,10,"no","no_snow"
2.21,6,0.701298701298701,22,"no","no_snow"
0.51,6,0.324675324675325,8,"yes","no_snow"
0,6,0.896103896103896,100,"yes","no_snow"
0,6,0.623376623376623,7,"no","no_snow"
1.11,6,0.857142857142857,46,"yes","no_snow"
0,6,0.454545454545454,51,"no","no_snow"
1.11,6,0.909090909090909,92,"no","no_snow"
0,6,0.688311688311688,100,"no","no_snow"
0,6,0.545454545454545,13,"no","no_snow"
0,1,0.545454545454545,76,"no","no_snow"
0.77,6,0.324675324675325,12,"no","no_snow"
0,6,0.545454545454545,0,"no","no_snow"
2.04,1,0.974025974025974,100,"no","no_snow"
0.6,6,0.454545454545454,2,"yes","no_snow"
0,1,0.87012987012987,94,"no","no_snow"
0,6,0.0779220779220779,24,"no","no_snow"
0,6,0.506493506493507,83,"no","no_snow"
2.04,6,0.506493506493507,13,"no","no_snow"
0,6,0.74025974025974,100,"no","no_snow"
0,1,0.532467532467533,73,"yes","no_snow"
0,6,0.844155844155844,86,"no","no_snow"
0,3,0.48051948051948,26,"yes","no_snow"
0,1,0.948051948051948,90,"no","no_snow"
0,6,0.649350649350649,0,"no","no_snow"
0,6,0.168831168831169,7,"no","no_snow"
0.09,6,0.792207792207792,100,"yes","no_snow"
0,6,0.428571428571429,3,"no","no_snow"
0.09,6,0.363636363636364,2,"no","no_snow"
0,6,0.415584415584416,2,"no","no_snow"
0.51,6,0.649350649350649,39,"no","no_snow"
0.09,6,0.883116883116883,88,"yes","no_snow"
0.77,4,0.948051948051948,100,"no","no_snow"
0,6,0.74025974025974,11,"no","no_snow"
0,6,0.48051948051948,50,"no","no_snow"
0.09,6,0.61038961038961,65,"no","no_snow"
0,6,0.38961038961039,29,"no","no_snow"
0,6,0.675324675324675,45,"no","no_snow"
0,6,0.467532467532468,69,"no","no_snow"
4,6,0.506493506493507,12,"no","no_snow"
0,1,0.896103896103896,100,"no","no_snow"
0.77,6,0.441558441558442,2,"yes","no_snow"
0.26,6,0.922077922077922,100,"no","no_snow"
0.94,6,0.519480519480519,48,"no","no_snow"
0,6,0.441558441558442,5,"no","no_snow"
1.87,6,0.61038961038961,83,"yes","no_snow"
2.38,6,0.935064935064935,100,"no","no_snow"
0,6,0.883116883116883,67,"no","no_snow"
0.77,0,1,100,"no","no_snow"
0.09,6,0.909090909090909,60,"no","no_snow"
0,1,0.74025974025974,94,"no","no_snow"
0,6,0.350649350649351,4,"no","no_snow"
0.77,6,0.714285714285714,87,"no","no_snow"
0,1,0.61038961038961,87,"yes","no_snow"
0,6,0.883116883116883,100,"no","no_snow"
0.09,5,0.623376623376623,14,"yes","no_snow"
0,4,0.766233766233766,90,"no","no_snow"
0,6,0.376623376623377,30,"no","no_snow"
0,6,0.727272727272727,0,"yes","no_snow"
0,6,0.688311688311688,100,"no","no_snow"
0,6,0.714285714285714,11,"no","no_snow"
0,6,0.688311688311688,4,"no","no_snow"
0,6,0.415584415584416,30,"no","no_snow"
0.6,3,0.623376623376623,70,"yes","chance_of_snow"
2.04,4,0.844155844155844,94,"no","chance_of_snow"
1.45,2,0.922077922077922,100,"yes","chance_of_snow"
3.15,1,0.935064935064935,100,"yes","chance_of_snow"
0.17,5,0.675324675324675,59,"no","chance_of_snow"
18.79,3,0.896103896103896,70,"no","chance_of_snow"
0.17,5,0.766233766233766,100,"no","chance_of_snow"
1.7,1,0.792207792207792,100,"yes","chance_of_snow"
8.58,2,0.779220779220779,81,"no","chance_of_snow"
0,1,0.857142857142857,100,"yes","chance_of_snow"
2.38,2,0.922077922077922,100,"no","chance_of_snow"
8.58,1,0.935064935064935,100,"no","chance_of_snow"
3.91,4,0.87012987012987,98,"no","chance_of_snow"
13.35,1,0.987012987012987,96,"no","chance_of_snow"
0.09,0,0.87012987012987,100,"no","chance_of_snow"
1.96,1,0.857142857142857,96,"yes","chance_of_snow"
8.58,1,0.922077922077922,87,"no","chance_of_snow"
4.25,5,0.896103896103896,86,"no","chance_of_snow"
4.51,6,0.818181818181818,47,"no","chance_of_snow"
3.49,2,0.896103896103896,100,"yes","chance_of_snow"
0.68,2,0.818181818181818,100,"no","chance_of_snow"
1.11,1,0.896103896103896,96,"yes","chance_of_snow"
2.47,1,0.935064935064935,100,"yes","chance_of_snow"
1.87,1,0.87012987012987,100,"yes","chance_of_snow"
13.35,3,0.961038961038961,83,"no","chance_of_snow"
2.89,2,0.909090909090909,91,"no","chance_of_snow"
0.68,5,0.961038961038961,100,"yes","chance_of_snow"
1.28,1,0.909090909090909,98,"yes","chance_of_snow"
3.57,6,0.961038961038961,97,"no","chance_of_snow"
